ShipDate,OrderNumber,ItemCode,ItemDescription,OrderLocation,SKUCode,Department,UnitsSold,TotalNetRevenue,TotalCOGS,GrossMarginDollars,GrossMarginPercent,CurrentAverageCost,CurrentRetailPriceEach,Current_GM_Each,Class,Category,Sub_Class,Quarter
1/3/2007  12:00:00 AM,G0784135,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,240.32,155.85,84.47,35.15,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0792852,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",200 - DWR Call Center,101738,LIGHTING,1.00,180.00,155.85,24.15,13.42,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,WEB0784998,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.84,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,WEB0786966,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,WEB0790371,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,WEB0791955,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,WEB0792086,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",205 - zz_Website - dwr.com,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0790461,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",213 - Santa Monica Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0791465,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",216 - Portland Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0784248,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",227 - Brooklyn Heights Studio,101738,LIGHTING,1.00,300.00,155.84,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0788377,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",230 - Berkeley Studio,101738,LIGHTING,1.00,300.00,155.84,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0790235,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",230 - Berkeley Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0792801,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",232 - Boston Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0774678,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",234 - North Avenue Studio,101738,LIGHTING,1.00,300.00,155.85,144.15,48.05,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0789109,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",238 - San Diego Studio,101738,LIGHTING,1.00,279.00,155.85,123.15,44.14,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
1/3/2007  12:00:00 AM,G0789111,0096 WHITE,"Nelson Saucer Pendant Lamp - Med, White",238 - San Diego Studio,101738,LIGHTING,1.00,279.00,155.85,123.15,44.14,156.94,300.00,52.31,PENDANTS,MISC,MISC,Q1 07
